"data","municipio","codmun","pop","casos","obitos","casos_100k","obitos_100k"
"2022-08-17","Itatim",291685,14487,1297,28,8952.85428315041,193.276730862152
"2022-08-17","Itiruçu",291690,12576,1530,27,12166.0305343511,214.69465648855
"2022-08-17","Itiúba",291700,36089,2615,48,7245.97522790878,133.00451661171
"2022-08-17","Itororó",291710,20382,3827,38,18776.3713080169,186.439014816995
"2022-08-17","Ituaçu",291720,18962,2440,31,12867.840945048,163.484864465774
"2022-08-17","Ituberá",291730,28602,2066,55,7223.27109992308,192.294245157681
"2022-08-17","Iuiu",291733,10994,1103,15,10032.7451337093,136.438057122067
"2022-08-17","Jaborandi",291735,8385,797,10,9505.06857483602,119.260584376863
"2022-08-17","Jacaraci",291740,14842,1583,31,10665.6784799892,208.866729551273
"2022-08-17","Jacobina",291750,80518,9210,129,11438.4361260836,160.212623264363
"2022-08-17","Jaguaquara",291760,54423,7281,67,13378.5348106499,123.109714642706
"2022-08-17","Jaguarari",291770,33570,2830,61,8430.14596365803,181.709859994042
"2022-08-17","Jaguaripe",291780,18788,1547,23,8233.97913561848,122.418565041516
"2022-08-17","Jandaíra",291790,10709,882,15,8236.06312447474,140.069100756373
"2022-08-17","Jequié",291800,155966,24064,434,15429.0037572291,278.265775874229
"2022-08-17","Jeremoabo",291810,40463,2977,51,7357.33880335121,126.041074561945
"2022-08-17","Jiquiriçá",291820,14537,1695,29,11659.9023182225,199.490954117081
"2022-08-17","Jitaúna",291830,11166,1299,31,11633.5303600215,277.628515135232
"2022-08-17","João Dourado",291835,25188,2252,61,8940.76544386216,242.178815308877
"2022-08-17","Juazeiro",291840,216707,27915,487,12881.4482227155,224.727396899962
"2022-08-17","Jucuruçu",291845,9126,1197,14,13116.3708086785,153.407845715538
"2022-08-17","Jussara",291850,15284,1201,17,7857.89060455378,111.227427375033
"2022-08-17","Jussari",291855,5833,849,12,14555.117435282,205.726041488085
"2022-08-17","Jussiape",291860,6186,514,10,8309.08503071452,161.655350792111
"2022-08-17","Lafaiete Coutinho",291870,3724,599,9,16084.8549946294,241.675617615467
"2022-08-17","Lagoa Real",291875,15665,1477,13,9428.66262368337,82.9875518672199
"2022-08-17","Laje",291880,23840,2666,41,11182.8859060403,171.979865771812
"2022-08-17","Lajedão",291890,3955,805,9,20353.982300885,227.5600505689
"2022-08-17","Lajedinho",291900,3783,437,1,11551.6785619878,26.4340470526038
"2022-08-17","Lajedo do Tabocal",291905,8562,992,14,11586.0780191544,163.513197850969
